,country,commodity,year,food_supply_stage,loss_percentage,cause_of_loss,main_key
0,pakistan,wheat,1966,storage,12.0,public sector storage losses due to rodents,pakistan_wheat_storage
1,kenya,maize (corn),1969,storage,14.25,[],kenya_maize (corn)_storage
2,ghana,maize (corn),1969,storage,12.75,[],ghana_maize (corn)_storage
3,united states of america,"hen eggs in shell, fresh",1970,whole supply chain,2.17,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
4,united states of america,lettuce and chicory,1970,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
5,united states of america,"other beans, green",1970,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
6,united states of america,potatoes,1970,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
7,united states of america,cabbages,1970,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
8,united states of america,carrots and turnips,1970,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
9,united states of america,"other beans, green",1971,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
10,united states of america,cabbages,1971,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
11,united states of america,"hen eggs in shell, fresh",1971,whole supply chain,2.13,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
12,united states of america,carrots and turnips,1971,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
13,united states of america,lettuce and chicory,1971,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
14,united states of america,potatoes,1971,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
15,united states of america,"hen eggs in shell, fresh",1972,whole supply chain,2.1,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
16,united states of america,"other beans, green",1972,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
17,united states of america,potatoes,1972,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
18,united states of america,cabbages,1972,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
19,united states of america,carrots and turnips,1972,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
20,united states of america,lettuce and chicory,1972,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
21,kenya,maize (corn),1973,storage,14.25,[],kenya_maize (corn)_storage
22,united states of america,lettuce and chicory,1973,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
23,united states of america,"hen eggs in shell, fresh",1973,whole supply chain,2.07,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
24,united states of america,cabbages,1973,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
25,united states of america,carrots and turnips,1973,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
26,united states of america,potatoes,1973,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
27,united states of america,"other beans, green",1973,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
28,united states of america,"other beans, green",1974,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
29,united states of america,carrots and turnips,1974,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
30,united states of america,"hen eggs in shell, fresh",1974,whole supply chain,2.03,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
31,united states of america,potatoes,1974,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
32,united states of america,lettuce and chicory,1974,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
33,united states of america,cabbages,1974,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
34,united states of america,"other beans, green",1975,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
35,united states of america,"hen eggs in shell, fresh",1975,whole supply chain,2.0,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
36,united states of america,carrots and turnips,1975,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
37,united states of america,cabbages,1975,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
38,malawi,maize (corn),1975,storage,10.0,[],malawi_maize (corn)_storage
39,united states of america,potatoes,1975,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
40,united states of america,lettuce and chicory,1975,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
41,united states of america,"other beans, green",1976,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
42,united states of america,cabbages,1976,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
43,united states of america,carrots and turnips,1976,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
44,united states of america,potatoes,1976,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
45,united states of america,lettuce and chicory,1976,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
46,united states of america,"hen eggs in shell, fresh",1976,whole supply chain,1.97,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
47,benin,maize (corn),1977,storage,8.5,[],benin_maize (corn)_storage
48,pakistan,wheat,1977,storage,9.75,[],pakistan_wheat_storage
49,united states of america,carrots and turnips,1977,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
50,united states of america,"hen eggs in shell, fresh",1977,whole supply chain,1.93,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
51,united states of america,potatoes,1977,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
52,india,rice,1977,storage,5.125,[],india_rice_storage
53,india,wheat,1977,storage,15.0,[],india_wheat_storage
54,united states of america,cabbages,1977,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
55,united states of america,lettuce and chicory,1977,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
56,ghana,yams,1977,storage,15.0,[],ghana_yams_storage
57,india,maize (corn),1977,storage,7.0,[],india_maize (corn)_storage
58,united states of america,"other beans, green",1977,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
59,united states of america,lettuce and chicory,1978,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
60,united states of america,cabbages,1978,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
61,ghana,maize (corn),1978,storage,15.0,storage,ghana_maize (corn)_storage
62,malawi,maize (corn),1978,storage,2.3260869565217392,[],malawi_maize (corn)_storage
63,united states of america,"other beans, green",1978,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
64,united states of america,"hen eggs in shell, fresh",1978,whole supply chain,1.9,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
65,benin,maize (corn),1978,storage,8.5,traditional on-farm storage six months improved silo storage,benin_maize (corn)_storage
66,united states of america,potatoes,1978,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
67,united republic of tanzania,maize (corn),1978,storage,27.666666666666668,insects,united republic of tanzania_maize (corn)_storage
